codigo,nome,cod_OMM,inicio_operacao,lat,lon,alt,summer_offset,utc_offset,time_zone_id,time_zone_name
A207,Grajaú-A207,81823.0,10/09/2008,-5.816085,-46.1622,232,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A225,Imperatriz-A225,81822.0,01/03/2008,-5.555723,-47.459794,118,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A203,São Luís-A203,81715.0,29/01/2003,-2.526771,-44.213577,55,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A219,Turiaçu-A219,81687.0,10/06/2008,-1.661224,-45.372571,36,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A549,Águas Vermelhas-A549,86722.0,09/09/2007,-15.751536,-41.457787,754,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A534,Aimorés-A534,86803.0,05/08/2007,-19.532768,-41.090801,288,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A508,Almenara-A508,86743.0,09/12/2002,-16.166773,-40.687756,189,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A566,Araçuaí-A566,,21/05/2017,-16.848806,-42.035361,308,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A505,Araxá-A505,86796.0,19/12/2002,-19.605696,-46.949617,1018,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A565,Bambuí-A565,,22/11/2016,-20.031111,-46.008811,697,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A502,Barbacena-A502,86850.0,05/12/2002,-21.228373,-43.767703,1169,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
F501,Belo Horizonte - Cercadinho-F501,86799.0,01/10/2014,-19.980034,-43.958651,1200,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A521,Belo Horizonte - Pampulha-A521,86800.0,10/10/2006,-19.883945,-43.969397,854,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A544,Buritis-A544,86718.0,19/06/2007,-15.524262,-46.435536,894,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A530,Caldas-A530,86846.0,28/11/2006,-21.918066,-46.382996,1077,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A519,Campina Verde-A519,86793.0,14/07/2006,-19.53921,-49.518133,559,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A541,Capelinha-A541,86761.0,02/09/2007,-17.705504,-42.389256,932,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A554,Caratinga-A554,86802.0,23/05/2007,-19.735757,-42.137146,609,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A548,Chapada Gaúcha-A548,86719.0,22/06/2007,-15.300159,-45.617431,873,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A520,Conceição das Alagoas-A520,86794.0,16/07/2006,-19.98586,-48.151574,573,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A557,Coronel Pacheco-A557,86822.0,17/10/2012,-21.546728,-43.261029,411,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A538,Curvelo-A538,86780.0,19/12/2006,-18.747711,-44.453785,669,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A537,Diamantina-A537,86781.0,05/06/2007,-18.231052,-43.648269,1359,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A536,Dores do Indaiá-A536,86797.0,01/06/2007,-19.481935,-45.593932,721,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A543,Espinosa-A543,86695.0,14/11/2007,-14.912284,-42.808473,565,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A535,Florestal-A535,86798.0,27/06/2008,-19.885398,-44.416883,754,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A524,Formiga-A524,86820.0,17/08/2006,-20.45493,-45.453825,878,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A532,Governador Valadares-A532,86783.0,29/05/2007,-18.830354,-41.977007,198,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A533,Guanhães-A533,86782.0,02/06/2007,-18.786842,-42.942921,853,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A546,Guarda-Mor-A546,86757.0,11/07/2007,-17.561349,-47.199251,997,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A555,Ibirité (Rola Moça)-A555,86821.0,07/06/2008,-20.031457,-44.011249,1199,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A550,Itaobim-A550,86742.0,05/09/2007,-16.575667,-41.485588,272,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
